ESS_REQUEST_ID,NAME,VALUE,DATA_TYPE,LOBVALUE,LOBFLAG,PARTITION_TIME
"6402182","EXT_PortletContainerWebModule","ORA_CRM_UI","String",,"N","2018-12-20 18:58:45.",
"6402182","aflogLevel","N","String",,"N","2018-12-20 18:58:45.",
"6402182","batchId",,"Long",,"N","2018-12-20 18:58:45.",
"6402182","completionText",,"String",,"N","2018-12-20 18:58:45.",
"6402182","cpAsynchJobWrapper","oracle.apps.fnd.applcp.request.exec.AsyncExecutableWrapper","String",,"N","2018-12-20 18:58:45.",
"6402182","cpJavaJobWrapper","oracle.apps.fnd.applcp.request.exec.ExecutableWrapper","String",,"N","2018-12-20 18:58:45.",
"6402182","cpSqlFileFlag","F","String",,"N","2018-12-20 18:58:45.",
"6402182","filePersistenceMode","content","String",,"N","2018-12-20 18:58:45.",
"6402182","jobDefinitionApplication","MKT","String",,"N","2018-12-20 18:58:45.",
"6402182","jobExecutesVirusScanOnLogFiles","false","Boolean",,"N","2018-12-20 18:58:45.",
"6402182","jobExecutesVirusScanOnOutputFiles","false","Boolean",,"N","2018-12-20 18:58:45.",
"6402182","jobId","300002681258642","Long",,"N","2018-12-20 18:58:45.",
"6402182","jobPackageName","/oracle/apps/ess/marketing/commonMarketing/mktImport","String",,"N","2018-12-20 18:58:45.",
"6402182","logLevel","1","String",,"N","2018-12-20 18:58:45.",
"6402182","oracle.apps.fnd.applcp.invokeIncrementProcIfPresent","true","Boolean",,"N","2018-12-20 18:58:45.",
"6402182","parentRequest","0","String",,"N","2018-12-20 18:58:45.",
"6402182","requestStepPath",,"String",,"N","2018-12-20 18:58:45.",
"6402182","shadowClassName","oracle.apps.marketing.commonMarketing.mktImport.ess.program.ImportJobExecutor","String",,"N","2018-12-20 18:58:45.",
"6402182","srsFlag","Y","String",,"N","2018-12-20 18:58:45.",
"6402185","aflogLevel","N","String",,"N","2018-12-20 18:59:26.",
"6402185","agent.connect.id","OdiAgentURLForFA","String",,"N","2018-12-20 18:59:26.",
"6402185","agent.url","http://adcdag14.us.oracle.com:8001/oraclediagent","String",,"N","2018-12-20 18:59:26.",
"6402185","completionText",,"String",,"N","2018-12-20 18:59:26.",
