PgInternalName,Language,SourceLangFlag,AllowDuplicateContent
WAVE_Demo/SubPG6/REST/83834,US,Y,N
WAVE_Demo/SubPG6/REST/8383,US,Y,N
WAVE_Demo/SubPG6/REST/0881,US,Y,N
WAVE_Demo/SubPG6/REST/088,US,Y,N
OAL RR  Test 1,US,Y,N
OAL RR  Test 3,US,Y,N
0JFG - Exadata Database Machine X5-8 Full Rack,US,Y,N
OAL RR  Test 2,US,Y,N
Resell Oracle Banking Digital Experience,US,Y,N
Resell Oracle Hyperion,US,Y,N
Resell Oracle Health Information Exchange Applications,US,Y,N
Resell Oracle Documaker,US,Y,N
Resell Oracle Fusion Supply Chain Management,US,Y,N
Resell SPARC M5-32 Servers,US,Y,N
Resell Oracle Crystal Ball,US,Y,N
Resell Oracle Life Sciences Data Hub & Clinical Development Analytics Applications,US,Y,N
OAL RR  Test 9,US,Y,N
OAL RR  Test 5,US,Y,N
OAL RR  Test 6,US,Y,N
OAL RR  Test 7,US,Y,N
OAL RR  Test 10,US,Y,N
OAL RR  Test 8,US,Y,N
Resell Oracle Big Data Appliance,US,Y,N
WAVE_Demo/SubPG1_1/REST,US,Y,N
WAVE_Demo/PG2/REST_UP/3,US,Y,N
WAVE_Demo/SubPG1/REST,US,Y,N
WAVE_Demo/SubPG5/REST,US,Y,N
WAVE_Demo/SubPG4/REST,US,Y,N
WAVE_Demo/PG2/REST_UP/1,US,Y,N
WAVE_Demo/SubPG2/REST,US,Y,N
WAVE_Demo/SubPG3/REST,US,Y,N
Z_ADIT_PAWAN_TEST,US,Y,N
WAVE_Demo/SubPG6/REST/SAMVEG,US,Y,N
Resell Oracle Utilities Applications,US,Y,N
Resell Oracle Student Learning Applications,US,Y,N
Resell StorageTek Tape Storage,US,Y,N
Resell Oracle Endeca Commerce Applications,US,Y,N
Resell Fujitsu M10 Servers,US,Y,N
Resell Primavera P6 EPPM 8 Cloud Service Solutions,US,Y,N
Resell No RR Required,US,Y,N
Resell Oracle Primavera Cloud Service,US,Y,N
Resell Integration Cloud Service,US,Y,N
Resell Oracle Linux,US,Y,N
Resell Oracle Maxymiser Testing and Optimization Cloud Service,US,Y,N
Resell Oracle FLEXCUBE,US,Y,N
Resell Oracle Health Sciences Mobile Clinical Research Associate,US,Y,N
Resell Oracle Fusion Customer Relationship Management Cloud Service,US,Y,N
Resell Process Cloud Service,US,Y,N
Resell Digital Media Solutions,US,Y,N
Resell Oracle Financial Services Lending and Leasing,US,Y,N
Resell Oracle Planning and Budgeting Cloud Service,US,Y,N
Resell Oracle Financial Services Analytical Applications,US,Y,N
Resell StorageTek Tape Media,US,Y,N
Resell Oracle Database Appliance,US,Y,N
Resell SPARC Enterprise High-End M-Series Servers,US,Y,N
Resell Oracle Secure Global Desktop ,US,Y,N
Resell Oracle Business Intelligence Cloud Service,US,Y,N
Resell Oracle Database Cloud Service,US,Y,N
Resell Oracle Taleo Business Edition Cloud Service,US,Y,N
Resell Oracle Financial Services Enterprise Performance Management,US,Y,N
Resell JD Edwards World,US,Y,N
Resell Oracle Clinical & Oracle Remote Data Capture Applications,US,Y,N
Resell Oracle Enterprise Healthcare Analytics Applications,US,Y,N
Resell Java Cloud Service - SaaS Extension,US,Y,N
Resell Front Porch Digital,US,Y,N
Resell Oracle BigMachines CPQ Cloud Service RR,US,Y,N
Resell Oracle Virtual Compute Appliance ,US,Y,N
Resell Oracle Eloqua Marketing Cloud Service ,US,Y,N
Resell  Instantis EnterpriseTrack,US,Y,N
Resell Oracle Insurance Insbridge Enterprise Rating,US,Y,N
Resell Oracle Health Sciences LabPas Applications,US,Y,N
Resell Oracle Transportation Management,US,Y,N
Resell Oracle User Productivity Kit,US,Y,N
Resell Oracle Health Sciences Translational Research Center,US,Y,N
Resell PeopleSoft,US,Y,N
Resell SPARC SuperCluster,US,Y,N
Resell Silver,US,Y,N
Resell Oracle Fusion Financials Cloud Service,US,Y,N
Resell Oracle Fusion Procurement,US,Y,N
Resell Oracle HCM Cloud: Oracle Taleo Learn Cloud Service Solutions,US,Y,N
Resell Infrastructure as a Service (IaaS),US,Y,N
Resell Oracle Argus Cloud Service,US,Y,N
Resell Primavera Unifier,US,Y,N
Resell Oracle Healthcare Foundation,US,Y,N
Resell Oracle Primavera Prime Cloud Service,US,Y,N
Resell Oracle DataRaker Cloud Service,US,Y,N
Resell Network Infrastructure for Session delivery,US,Y,N
Resell Oracle GRC: Oracle Fusion GRC Solutions,US,Y,N
Resell Oracle Fusion Financials,US,Y,N
Resell Oracle Taleo Cloud Service ,US,Y,N
Resell Oracle Fusion Procurement Cloud Service,US,Y,N
Resell Oracle Financial Services Revenue Management and Billing,US,Y,N
Resell Oracle Financial Services Enterprise Risk Management,US,Y,N
Resell Oracle Enterprise Performance Reporting Cloud Service,US,Y,N
Resell Oracle Field Service Cloud Service Resell,US,Y,N
Resell Oracle MiniCluster,US,Y,N
Resell Not Available for Resell,US,Y,N
Resell Oracle Tax Applications,US,Y,N
Resell Exalytics In-Memory Machine,US,Y,N
Resell Tech,US,Y,N
Resell Oracle Server Virtualization,US,Y,N
Resell Oracle's Product Lifecycle Management (Agile),US,Y,N
Resell Oracle Hospitality,US,Y,N
Resell Mobile Cloud Service,US,Y,N
Resell Instantis Enterprise Track,US,Y,N
Resell Oracle Insurance Policy Administration,US,Y,N
Resell Oracle Social Relationship Management Resell,US,Y,N
Resell Oracle Health Sciences ClearTrial Cloud Service,US,Y,N
Resell Oracle Virtual Networking Resell,US,Y,N
Resell Pending Resell Mapping,US,Y,N
Resell Oracle Agile Product Lifecycle Management,US,Y,N
Resell Oracle Argus Safety Suite Applications,US,Y,N
Resell Oracle Primavera,US,Y,N
Resell Oracle Master Data Management Solutions ,US,Y,N
Resell Exalogic Elastic Cloud,US,Y,N
Resell NAS Storage,US,Y,N
Resell SPARC T-Series Servers,US,Y,N
Resell Sun Blade Servers,US,Y,N
Resell Zero Data Loss Recovery Appliance,US,Y,N
Resell Enterprise Communications,US,Y,N
Resell Oracle Communications SS7 Signaling Platform Solutions,US,Y,N
Resell Oracle Fusion Project Portfolio Management,US,Y,N
Resell Oracle Fusion Customer Relationship Management,US,Y,N
Resell JD Edwards EnterpriseOne,US,Y,N
Resell Oracle Business Intelligence Applications,US,Y,N
Resell Oracle Siebel Clinical Trial Management System Application,US,Y,N
Resell Oracle E-Business Suite,US,Y,N
Resell Oracle Policy Automation,US,Y,N
Resell Siebel,US,Y,N
Resell SPARC Enterprise Entry-Level and Midrange M-Series Servers,US,Y,N
Resell Exadata Database Machine,US,Y,N
Resell SAN Storage,US,Y,N
Resell Sun x86 Servers,US,Y,N
Resell Oracle Desktop Virtualization,US,Y,N
Resell Oracle Banking Platform,US,Y,N
Resell Oracle Health Sciences Empirica Cloud Service,US,Y,N
Resell Oracle Responsys Marketing Platform Cloud Service,US,Y,N
Resell Oracle Cloud: PaaS and IaaS,US,Y,N
Resell Oracle Communications Broadband Network Solutions,US,Y,N
Resell Oracle Health Insurance,US,Y,N
Resell Oracle Communications Unified Communications Suite,US,Y,N
Resell Oracle CRM On Demand,US,Y,N
Resell Oracle ATG Commerce Suite Application,US,Y,N
Resell Oracle Health Sciences Empirica Applications,US,Y,N
Resell Primavera Unifier RR,US,Y,N
Resell Oracle Customer Insight,US,Y,N
Resell Oracle Documents Cloud Service,US,Y,N
Resell Oracle Java Cloud Service,US,Y,N
Resell Oracle HCM Cloud: Oracle Fusion Talent Management Cloud Service Solutions,US,Y,N
Resell Oracle Financial Crime and Compliance Management,US,Y,N
Resell Oracle Fusion Human Capital Management,US,Y,N
Resell Oracle Fusion Project Portfolio Management Cloud Service,US,Y,N
